task_category_code,group,label_pt,label_en,description_pt,verbs_pt,verbs_en,verbs_es,notes
childcare,caregiving,Cuidado com Crianças,Childcare,"Alimentar, vestir, brincar, banho de criança",,,,
eldercare,caregiving,Cuidado com Idosos,Eldercare,"Assistência a idosos, mobilidade, medicação",,,,
pet_care,caregiving,Cuidado com Pets,Pet Care,"Alimentar, banhar, passear, brincar com pet",,,,
pet_training,caregiving,Adestramento,Pet Training,"Comandos, reforço positivo, socialização",,,,
plant_care,caregiving,Cuidado com Plantas,Plant Care,"Regar, podar, adubar plantas domésticas",,,,
carrying,errands,Transporte Manual,Carrying,"Carregar, mover objetos entre locais",,,,
shopping,errands,Compras,Shopping,"Selecionar produtos, checkout, carregar compras",,,,
baking,food,Panificação,Baking,Subcategoria de cooking — assar no forno,,,,
beverage_preparation,food,Preparo de Bebidas,Beverage Preparation,"Café, suco, drinks",,,,
cooking,food,Cozimento,Cooking,"Aplicar calor — fogão, forno, micro-ondas, grelha",,,,
eating,food,Consumo de Alimentos,Eating,"Comer, beber, degustar",,,,
food_preparation,food,Preparo de Alimentos,Food Preparation,"Separar, lavar, cortar, medir ingredientes (antes do cozimento)",,,,
food_serving,food,Servir Alimentos,Food Serving,"Empratar, servir, montar mesa",,,,
assembly,handiwork,Montagem,Assembly,"Montar móveis, brinquedos, kits",,,,
crafting,handiwork,Trabalho Manual,Crafting,"Artesanato, costura, tricô, DIY",,,,
maintenance,handiwork,Manutenção,Maintenance,"Consertar, trocar peças, lubrificar",,,,
repair,handiwork,Reparo,Repair,Subcategoria de maintenance — consertos específicos,,,,
cleaning,housekeeping,Limpeza,Cleaning,"Remover sujeira de superfícies, objetos, ambientes",,,,
dishwashing,housekeeping,Lavagem de Louça,Dishwashing,Lavar utensílios e louças,,,,
laundry,housekeeping,Lavagem de Roupas,Laundry,"Coletar, lavar, secar, dobrar, guardar roupas",,,,
tidying,housekeeping,Organização,Tidying,"Arrumar, guardar, posicionar objetos sem necessariamente limpar",,,,
waste_management,housekeeping,Descarte / Lixo,Waste Management,"Separar, descartar, levar lixo",,,,
commuting,mobility,Deslocamento,Commuting,"Caminhada, transporte entre locais",,,,
driving,mobility,Dirigir,Driving,Operar veículo,,,,
gardening,outdoor_work,Jardinagem,Gardening,"Cultivo, paisagismo, horta externa",,,,
studying,productive,Estudo,Studying,"Leitura, anotações, exercícios",,,,
working_desk,productive,Trabalho de Escritório,Desk Work,"Computador, leitura, escrita, reunião",,,,
exercise,recreation,Exercício Físico,Exercise,"Musculação, cardio, alongamento",,,,
leisure,recreation,Lazer,Leisure,"TV, jogos, relaxamento",,,,
music_practice,recreation,Prática Musical,Music Practice,"Tocar instrumento, cantar",,,,
sports,recreation,Prática Esportiva,Sports,"Esportes específicos (futebol, tênis, etc.)",,,,
grooming,self_care,Higiene e Arrumação,Grooming,"Pentear, barbear, cortar unhas",,,,
health_care,self_care,Cuidado com Saúde,Health Care,"Tomar medicamento, aferir pressão, curativo",,,,
personal_care,self_care,Cuidado Pessoal,Personal Care,"Banho, escovar dentes, maquiagem, vestir-se",,,,
communication,social,Comunicação,Communication,"Conversar, telefonar, videochamada",,,,
socializing,social,Socialização,Socializing,"Conversas em grupo, recepção de visitas",,,,
