task_category_code,group,label_pt,label_en,description_pt,verbs_pt,verbs_en,verbs_es,notes
childcare,caregiving,Cuidado com Crianças,Childcare,"Alimentar, vestir, brincar, banho de criança",alimentar|vestir|dar banho|trocar fralda|brincar|ninar|acalmar|supervisionar,feed|dress|bathe|change diaper|play|soothe|calm|supervise,alimentar|vestir|bañar|cambiar pañal|jugar|arrullar|calmar|supervisar,
eldercare,caregiving,Cuidado com Idosos,Eldercare,"Assistência a idosos, mobilidade, medicação",auxiliar mobilidade|administrar medicação|alimentar|higienizar|acompanhar|monitorar|conversar,assist mobility|administer medication|feed|clean|accompany|monitor|converse,asistir movilidad|administrar medicación|alimentar|higienizar|acompañar|monitorear|conversar,
pet_care,caregiving,Cuidado com Pets,Pet Care,"Alimentar, dar banho, passear, brincar com pet",alimentar|dar água|dar banho|escovar|passear|brincar|limpar caixa|aparar unhas,feed|water|bathe|brush|walk|play|clean litter|trim nails,alimentar|dar agua|bañar|cepillar|pasear|jugar|limpiar arenero|cortar uñas,
pet_training,caregiving,Adestramento,Pet Training,"Comandos, reforço positivo, socialização",comandar|recompensar|corrigir|socializar|repetir|guiar na coleira,command|reward|correct|socialize|repeat|leash guide,ordenar|recompensar|corregir|socializar|repetir|guiar con correa,
plant_care,caregiving,Cuidado com Plantas,Plant Care,"Regar, podar, adubar plantas domésticas",regar|podar|adubar|replantar|remover folhas secas|pulverizar|inspecionar pragas,water|prune|fertilize|repot|remove dead leaves|spray|inspect for pests,regar|podar|abonar|trasplantar|quitar hojas secas|pulverizar|inspeccionar plagas,
carrying,errands,Transporte Manual,Carrying,"Carregar, mover objetos entre locais",levantar|carregar|empilhar|transportar|descarregar|posicionar,lift|carry|stack|transport|unload|position,levantar|cargar|apilar|transportar|descargar|posicionar,
shopping,errands,Compras,Shopping,"Selecionar produtos, checkout, carregar compras",listar|procurar|selecionar|comparar|pesar|pagar|ensacar|carregar,list|browse|select|compare|weigh|pay|bag|carry,listar|buscar|seleccionar|comparar|pesar|pagar|embolsar|cargar,
baking,food,Panificação,Baking,Subcategoria de cooking — assar no forno,medir|misturar|sovar|modelar|deixar crescer|assar|decorar|desenformar,measure|mix|knead|shape|proof|bake|decorate|unmold,medir|mezclar|amasar|dar forma|leudar|hornear|decorar|desmoldar,
beverage_preparation,food,Preparo de Bebidas,Beverage Preparation,"Café, suco, drinks",medir|moer|ferver|coar|misturar|servir|adoçar|gelar,measure|grind|boil|strain|mix|serve|sweeten|chill,medir|moler|hervir|colar|mezclar|servir|endulzar|enfriar,
cooking,food,Cozimento,Cooking,"Aplicar calor — fogão, forno, micro-ondas, grelha",aquecer|fritar|refogar|ferver|grelhar|assar|temperar|provar|mexer,heat|fry|sauté|boil|grill|roast|season|taste|stir,calentar|freír|sofreír|hervir|asar a la parrilla|hornear|sazonar|probar|revolver,
eating,food,Consumo de Alimentos,Eating,"Comer, beber, degustar",servir-se|mastigar|beber|degustar|cortar|usar talheres,serve oneself|chew|drink|taste|cut|use utensils,servirse|masticar|beber|degustar|cortar|usar cubiertos,
food_preparation,food,Preparo de Alimentos,Food Preparation,"Separar, lavar, cortar, medir ingredientes (antes do cozimento)",separar|lavar|descascar|cortar|picar|medir|marinar|misturar,separate|wash|peel|cut|chop|measure|marinate|mix,separar|lavar|pelar|cortar|picar|medir|marinar|mezclar,
food_serving,food,Servir Alimentos,Food Serving,"Empratar, servir, montar mesa",empratar|porcionar|decorar|montar mesa|servir|distribuir,plate|portion|garnish|set table|serve|distribute,emplatar|porcionar|decorar|poner la mesa|servir|distribuir,
assembly,handiwork,Montagem,Assembly,"Montar móveis, brinquedos, kits",desembalar|separar peças|ler instruções|alinhar|parafusar|encaixar|apertar,unbox|sort parts|read instructions|align|screw|fit|tighten,desembalar|separar piezas|leer instrucciones|alinear|atornillar|encajar|apretar,
crafting,handiwork,Trabalho Manual,Crafting,"Artesanato, costura, tricô, DIY",medir|cortar|colar|costurar|tricotar|pintar|modelar|decorar,measure|cut|glue|sew|knit|paint|mold|decorate,medir|cortar|pegar|coser|tejer|pintar|moldear|decorar,
maintenance,handiwork,Manutenção,Maintenance,"Consertar, trocar peças, lubrificar",inspecionar|limpar|lubrificar|ajustar|trocar peça|testar,inspect|clean|lubricate|adjust|replace part|test,inspeccionar|limpiar|lubricar|ajustar|cambiar pieza|probar,
repair,handiwork,Reparo,Repair,Subcategoria de maintenance — consertos específicos,diagnosticar|desmontar|consertar|soldar|colar|remontar|testar,diagnose|disassemble|fix|solder|glue|reassemble|test,diagnosticar|desmontar|reparar|soldar|pegar|remontar|probar,
cleaning,housekeeping,Limpeza,Cleaning,"Remover sujeira de superfícies, objetos, ambientes",varrer|aspirar|passar pano|esfregar|tirar pó|desinfetar|polir,sweep|vacuum|mop|scrub|dust|disinfect|polish,barrer|aspirar|trapear|fregar|quitar el polvo|desinfectar|pulir,
dishwashing,housekeeping,Lavagem de Louça,Dishwashing,Lavar utensílios e louças,recolher|raspar restos|ensaboar|esfregar|enxaguar|secar|guardar,collect|scrape|soap|scrub|rinse|dry|put away,recoger|raspar restos|enjabonar|fregar|enjuagar|secar|guardar,
laundry,housekeeping,Lavagem de Roupas,Laundry,"Coletar, lavar, secar, dobrar, guardar roupas",separar|pré-tratar manchas|lavar|centrifugar|estender|secar|passar|dobrar|guardar,sort|pretreat stains|wash|spin|hang|dry|iron|fold|put away,separar|pretratar manchas|lavar|centrifugar|tender|secar|planchar|doblar|guardar,
tidying,housekeeping,Organização,Tidying,"Arrumar, guardar, posicionar objetos sem necessariamente limpar",recolher|agrupar|organizar|guardar|alinhar|etiquetar,pick up|group|organize|put away|align|label,recoger|agrupar|organizar|guardar|alinear|etiquetar,
waste_management,housekeeping,Descarte / Lixo,Waste Management,"Separar, descartar, levar lixo",separar|ensacar|compactar|levar para fora|reciclar|compostar,sort|bag|compact|take out|recycle|compost,separar|embolsar|compactar|sacar|reciclar|compostar,
commuting,mobility,Deslocamento,Commuting,"Caminhada, transporte entre locais",caminhar|esperar|embarcar|atravessar|subir escada|desembarcar,walk|wait|board|cross|climb stairs|disembark,caminar|esperar|abordar|cruzar|subir escaleras|desembarcar,
